countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,group,group2,account_t_d,fiaccount_t_d,mobileaccount_t_d,borrow_any_t_d,fin4_d,fin11_2a,fin11a,fin11b,fin11c,fin11f,fin11d,fin11e,fin14a,fin14b,fin14c,fin14d,fin13_1a,fin13_1b,fin26a,fin26b,fin27a,fin27b,fin17f,fin17a_17a1_d,fin17a,fin17b,fin17c
Afghanistan,AFG,2011,14575546,South Asia (excluding high income),Low income,all,all,0.090050121,0.090050121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028194203,0.028194203,NA,NA
Albania,ALB,2011,2281010,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.282681244,0.282681244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085616107,0.085616107,NA,NA
Algeria,DZA,2011,26251587,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.332861125,0.332861125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043256993,0.043256993,NA,NA
Angola,AGO,2011,12779501,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.392035423,0.392035423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159155843,0.159155843,NA,NA
Argentina,ARG,2011,30685516,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.33130217,0.33130217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038006575,0.038006575,NA,NA
Armenia,ARM,2011,2457011,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.174868727,0.174868727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008191325,0.008191325,NA,NA
Australia,AUS,2011,17830548,High income,High income,all,all,0.990648467,0.990648467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619249402,0.619249402,NA,NA
Austria,AUT,2011,7123870,High income,High income,all,all,0.970817388,0.970817388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515938412,0.515938412,NA,NA
Azerbaijan,AZE,2011,7034188,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.149008504,0.149008504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016074727,0.016074727,NA,NA
Bahrain,BHR,2011,978145,High income,High income,all,all,0.645145712,0.645145712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162934248,0.162934248,NA,NA
Bangladesh,BGD,2011,100376575,South Asia (excluding high income),Lower middle income,all,all,0.317436491,0.317436491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166367945,0.166367945,NA,NA
Belarus,BLR,2011,8075665,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.586019795,0.586019795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068082103,0.068082103,NA,NA
Belgium,BEL,2011,9049843,High income,High income,all,all,0.963061274,0.963061274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425753521,0.425753521,NA,NA
Benin,BEN,2011,5496491,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.10463937,0.10463937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070161603,0.070161603,NA,NA
Bolivia,BOL,2011,6675907,Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.280291328,0.280291328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170694122,0.170694122,NA,NA
Bosnia and Herzegovina,BIH,2011,3217823,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.562116083,0.562116083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060840449,0.060840449,NA,NA
Botswana,BWA,2011,1340324,Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.302600143,0.302600143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16467,0.16467,NA,NA
Brazil,BRA,2011,145842533,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.558603848,0.558603848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102869256,0.102869256,NA,NA
Bulgaria,BGR,2011,6400381,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.528249019,0.528249019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048000612,0.048000612,NA,NA
Burkina Faso,BFA,2011,8802362,Sub-Saharan Africa (excluding high income),Low income,all,all,0.13353092,0.13353092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079148265,0.079148265,NA,NA
Burundi,BDI,2011,5147947,Sub-Saharan Africa (excluding high income),Low income,all,all,0.072379846,0.072379846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033066096,0.033066096,NA,NA
Cambodia,KHM,2011,9675871,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.036597117,0.036597117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008087082,0.008087082,NA,NA
Cameroon,CMR,2011,11072780,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.148096124,0.148096124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099409947,0.099409947,NA,NA
Canada,CAN,2011,28373521,High income,High income,all,all,0.958046425,0.958046425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532030785,0.532030785,NA,NA
Central African Republic,CAF,2011,2428582,Sub-Saharan Africa (excluding high income),Low income,all,all,0.033008091,0.033008091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024745391,0.024745391,NA,NA
Chad,TCD,2011,6309105,Sub-Saharan Africa (excluding high income),Low income,all,all,0.089597456,0.089597456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068393046,0.068393046,NA,NA
Chile,CHL,2011,13480066,High income,High income,all,all,0.421792855,0.421792855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124167453,0.124167453,NA,NA
China,CHN,2011,1090576711,East Asia & Pacific (excluding high income),Upper middle income,all,all,0.638173129,0.638173129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320894212,0.320894212,NA,NA
Colombia,COL,2011,32481705,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.30427801,0.30427801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092045297,0.092045297,NA,NA
Comoros,COM,2011,382348,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.21694674,0.21694674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107650464,0.107650464,NA,NA
"Congo, Dem. Rep.",COD,2011,36981603,Sub-Saharan Africa (excluding high income),Low income,all,all,0.036967262,0.036967262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014952197,0.014952197,NA,NA
"Congo, Rep.",COG,2011,2658255,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.100480566,0.100480566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059454644,0.059454644,NA,NA
Costa Rica,CRI,2011,3423771,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.503587278,0.503587278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199036913,0.199036913,NA,NA
Croatia,HRV,2011,3638504,High income,High income,all,all,0.883910203,0.883910203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122311372,0.122311372,NA,NA
Cyprus,CYP,2011,936237,High income,High income,all,all,0.852376451,0.852376451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304449669,0.304449669,NA,NA
Czechia,CZE,2011,8965818,High income,High income,all,all,0.806511951,0.806511951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354813302,0.354813302,NA,NA
Denmark,DNK,2011,4549535,High income,High income,all,all,0.997367892,0.997367892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565099313,0.565099313,NA,NA
Djibouti,DJI,2011,591971,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.122738821,0.122738821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033506996,0.033506996,NA,NA
Dominican Republic,DOM,2011,6788648,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.382046712,0.382046712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15972159,0.15972159,NA,NA
Ecuador,ECU,2011,10352753,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.367355009,0.367355009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145067546,0.145067546,NA,NA
"Egypt, Arab Rep.",EGY,2011,58969826,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.097199806,0.097199806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006926641,0.006926641,NA,NA
El Salvador,SLV,2011,4126198,Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.137646152,0.137646152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129120021,0.129120021,NA,NA
Estonia,EST,2011,1128611,High income,High income,all,all,0.96824276,0.96824276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288711906,0.288711906,NA,NA
Eswatini,SWZ,2011,680317,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.285694413,0.285694413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177559971,0.177559971,NA,NA
Finland,FIN,2011,4475337,High income,High income,all,all,0.99651252,0.99651252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561382687,0.561382687,NA,NA
France,FRA,2011,52976120,High income,High income,all,all,0.969838847,0.969838847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495179305,0.495179305,NA,NA
Gabon,GAB,2011,1077711,Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.189465176,0.189465176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086614245,0.086614245,NA,NA
Georgia,GEO,2011,3084171,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.329809682,0.329809682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010456215,0.010456215,NA,NA
Germany,DEU,2011,70576834,High income,High income,all,all,0.981336173,0.981336173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559000428,0.559000428,NA,NA
Ghana,GHA,2011,15512209,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.294253536,0.294253536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161385716,0.161385716,NA,NA
Greece,GRC,2011,9493929,High income,High income,all,all,0.779398584,0.779398584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19865822,0.19865822,NA,NA
Guatemala,GTM,2011,8804525,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.223188831,0.223188831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102150905,0.102150905,NA,NA
Guinea,GIN,2011,5771983,Sub-Saharan Africa (excluding high income),Low income,all,all,0.0368785,0.0368785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020361637,0.020361637,NA,NA
Haiti,HTI,2011,6250015,Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.220072688,0.220072688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180451456,0.180451456,NA,NA
Honduras,HND,2011,5181064,Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.205122646,0.205122646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085496365,0.085496365,NA,NA
"Hong Kong SAR, China",HKG,2011,6165173,High income,High income,all,all,0.886860397,0.886860397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427736498,0.427736498,NA,NA
Hungary,HUN,2011,8529919,High income,High income,all,all,0.726743207,0.726743207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172527734,0.172527734,NA,NA
India,IND,2011,853745004,South Asia (excluding high income),Lower middle income,all,all,0.352318385,0.352318385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116039791,0.116039791,NA,NA
Indonesia,IDN,2011,177530453,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.195819908,0.195819908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152883186,0.152883186,NA,NA
"Iran, Islamic Rep.",IRN,2011,59270231,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.736838511,0.736838511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197070363,0.197070363,NA,NA
Iraq,IRQ,2011,18241367,Middle East & North Africa (excluding high income),Upper middle income,all,all,0.105537449,0.105537449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054425959,0.054425959,NA,NA
Ireland,IRL,2011,3598499,High income,High income,all,all,0.938883535,0.938883535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512584801,0.512584801,NA,NA
Israel,ISR,2011,5491153,High income,High income,all,all,0.904686394,0.904686394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247516733,0.247516733,NA,NA
Italy,ITA,2011,50957209,High income,High income,all,all,0.710085305,0.710085305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154753737,0.154753737,NA,NA
Jamaica,JAM,2011,2007871,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.709915018,0.709915018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304081239,0.304081239,NA,NA
Japan,JPN,2011,110945852,High income,High income,all,all,0.964220483,0.964220483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51325751,0.51325751,NA,NA
Jordan,JOR,2011,4670454,Middle East & North Africa (excluding high income),Upper middle income,all,all,0.254710972,0.254710972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082629639,0.082629639,NA,NA
Kazakhstan,KAZ,2011,12564991,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.421050923,0.421050923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067408155,0.067408155,NA,NA
Kenya,KEN,2011,23450849,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.423434544,0.423434544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232819688,0.232819688,NA,NA
"Korea, Rep.",KOR,2011,41432826,High income,High income,all,all,0.93046869,0.93046869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469420606,0.469420606,NA,NA
Kosovo,XKX,2011,1287712,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.443099658,0.443099658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049485212,0.049485212,NA,NA
Kuwait,KWT,2011,2266476,High income,High income,all,all,0.867732441,0.867732441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403450337,0.403450337,NA,NA
Kyrgyz Republic,KGZ,2011,3813117,Europe & Central Asia (excluding high income),Lower middle income,all,all,0.037572643,0.037572643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008891624,0.008891624,NA,NA
Lao PDR,LAO,2011,4035423,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.26773455,0.26773455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193609791,0.193609791,NA,NA
Latvia,LVA,2011,1800178,High income,High income,all,all,0.896588352,0.896588352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133209679,0.133209679,NA,NA
Lebanon,LBN,2011,3709897,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.370273272,0.370273272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171149194,0.171149194,NA,NA
Lesotho,LSO,2011,1266790,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.184970245,0.184970245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07896327,0.07896327,NA,NA
Liberia,LBR,2011,2309936,Sub-Saharan Africa (excluding high income),Low income,all,all,0.188014652,0.188014652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139253093,0.139253093,NA,NA
Lithuania,LTU,2011,2635099,High income,High income,all,all,0.737551986,0.737551986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204888817,0.204888817,NA,NA
Luxembourg,LUX,2011,417441,High income,High income,all,all,0.945867981,0.945867981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520091607,0.520091607,NA,NA
Madagascar,MDG,2011,12419251,Sub-Saharan Africa (excluding high income),Low income,all,all,0.055232225,0.055232225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013760996,0.013760996,NA,NA
Malawi,MWI,2011,7972899,Sub-Saharan Africa (excluding high income),Low income,all,all,0.165406104,0.165406104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08243283,0.08243283,NA,NA
Malaysia,MYS,2011,20649116,East Asia & Pacific (excluding high income),Upper middle income,all,all,0.661738111,0.661738111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354067767,0.354067767,NA,NA
Mali,MLI,2011,8429981,Sub-Saharan Africa (excluding high income),Low income,all,all,0.082138534,0.082138534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04479115,0.04479115,NA,NA
Malta,MLT,2011,351508,High income,High income,all,all,0.952700727,0.952700727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448137579,0.448137579,NA,NA
Mauritania,MRT,2011,1903527,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.174618151,0.174618151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064092754,0.064092754,NA,NA
Mauritius,MUS,2011,986634,Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.801232108,0.801232108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30830217,0.30830217,NA,NA
Mexico,MEX,2011,79795751,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.274293832,0.274293832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067252783,0.067252783,NA,NA
Moldova,MDA,2011,2361620,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.180663215,0.180663215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035413855,0.035413855,NA,NA
Mongolia,MNG,2011,1973485,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.777170918,0.777170918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231791781,0.231791781,NA,NA
Montenegro,MNE,2011,500343,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.504380175,0.504380175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033621345,0.033621345,NA,NA
Nepal,NPL,2011,17498633,South Asia (excluding high income),Lower middle income,all,all,0.253085585,0.253085585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099026461,0.099026461,NA,NA
Netherlands,NLD,2011,13694510,High income,High income,all,all,0.986585294,0.986585294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578136149,0.578136149,NA,NA
New Zealand,NZL,2011,3443024,High income,High income,all,all,0.994367277,0.994367277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604397564,0.604397564,NA,NA
Nicaragua,NIC,2011,3774402,Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.142183321,0.142183321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065346615,0.065346615,NA,NA
Niger,NER,2011,8376813,Sub-Saharan Africa (excluding high income),Low income,all,all,0.015216987,0.015216987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011643995,0.011643995,NA,NA
Nigeria,NGA,2011,92621676,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.296675377,0.296675377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235937387,0.235937387,NA,NA
North Macedonia,MKD,2011,1569860,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.736989466,0.736989466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077796174,0.077796174,NA,NA
Oman,OMN,2011,1989124,High income,High income,all,all,0.736024165,0.736024165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226187977,0.226187977,NA,NA
Pakistan,PAK,2011,120857470,South Asia (excluding high income),Lower middle income,all,all,0.103062966,0.103062966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014405495,0.014405495,NA,NA
Panama,PAN,2011,2569368,High income,High income,all,all,0.249264954,0.249264954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124598873,0.124598873,NA,NA
Paraguay,PRY,2011,3870412,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.217201462,0.217201462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097210577,0.097210577,NA,NA
Peru,PER,2011,20570757,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.204586854,0.204586854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085578551,0.085578551,NA,NA
Philippines,PHL,2011,62034866,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.265559261,0.265559261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147131216,0.147131216,NA,NA
